productId,setName,productName,rarity,subTypeName,marketPrice,midPrice,lowPrice,highPrice
544194,SV: Scarlet & Violet Promo Cards,Bellibolt - 094,Promo,Holofoil,0.44,0.46,0.1,19.98
546754,SV: Scarlet & Violet Promo Cards,Houndoom ex - 103,Promo,Holofoil,3.44,3.56,2.4,9999.0
550082,SV06: Twilight Masquerade,Chandelure,Rare,Holofoil,0.22,0.21,0.01,999.0
550082,SV06: Twilight Masquerade,Chandelure,Rare,Reverse Holofoil,0.27,0.3,0.03,999.0
560322,SV: Shrouded Fable,Kingdra ex - 012/064,Double Rare,Holofoil,0.77,0.92,0.37,999.0
567234,SV07: Stellar Crown,Mow Rotom,Common,Reverse Holofoil,0.29,0.26,0.04,19.98
567234,SV07: Stellar Crown,Mow Rotom,Common,Normal,0.13,0.15,0.01,19.98
567490,SV07: Stellar Crown,Area Zero Underdepths - 174/142,Hyper Rare,Holofoil,10.49,11.97,7.99,110.6
590018,SV08: Surging Sparks,Palossand ex - 091/191,Double Rare,Holofoil,0.64,0.78,0.1,35.0
599746,SVE: Scarlet & Violet Energies,Basic Fighting Energy (Cracked Ice Holo),Common,Holofoil,1.44,1.82,0.5,30.4
600514,Shining Legends,Shining Legends Collection: Shiny Darkrai GX,,Normal,382.33,500.0,500.0,500.0
610498,SV: Prismatic Evolutions,Tyme,Ultra Rare,Holofoil,0.6,0.68,0.15,999.0
623554,SV09: Journey Together,Noibat - 127/159,Common,Reverse Holofoil,0.28,0.29,0.04,53.5
623554,SV09: Journey Together,Noibat - 127/159,Common,Normal,0.12,0.15,0.01,19.98
633026,SV10: Destined Rivals,Team Rocket's Petrel - 226/182,Ultra Rare,Holofoil,9.29,11.0,8.99,173.6
642242,SV: White Flare,Gigalith - 129/086,Illustration Rare,Holofoil,19.17,21.19,17.59,167.5
642498,SV: Black Bolt,Excadrill ex,Double Rare,Holofoil,0.53,0.84,0.2,19.98
642754,SV: White Flare,Vullaby (Poke Ball Pattern),Common,Holofoil,0.52,0.52,0.22,19.98
645314,Arceus,Arceus Blister Pack (Happiny & Lopunny),,,,,,
645570,Miscellaneous Cards & Products,Tepig - 011/086 (Unova Poster Collection),Common,Holofoil,0.24,0.25,0.03,19.98
660418,ME02: Phantasmal Flames,Grimsley's Move,Uncommon,Normal,0.14,0.16,0.01,1000.0
660418,ME02: Phantasmal Flames,Grimsley's Move,Uncommon,Reverse Holofoil,0.21,0.23,0.01,999.0
662210,ME02: Phantasmal Flames,Pawmi,Common,Normal,0.05,0.12,0.01,999.0
662210,ME02: Phantasmal Flames,Pawmi,Common,Reverse Holofoil,0.21,0.21,0.01,999.0
670914,Prize Pack Series Cards,Play! Pokemon Prize Pack Series Eight,,Normal,6.23,7.49,5.5,15.0
676034,ME: Ascended Heroes,Ethan's Magcargo - 222/217,Illustration Rare,Holofoil,6.63,7.97,5.5,106.53
677058,ME: Ascended Heroes,Misdreavus - 085/217 (Energy Symbol Pattern),Common,Reverse Holofoil,0.2,0.24,0.03,19.98
704194,ME: 30th Celebration,30th Celebration Figure Collection [Mewtwo],,Normal,202.98,189.95,184.5,798.11
704450,Prize Pack Series Cards,Poke Pad - 081/088 (Cosmos Holo),Uncommon,Holofoil,8.99,9.0,7.68,13.81
